repository	disposition	category	reason
adoptium/bumblebench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
shen203/GPU_Microbenchmark	unavailable	benchmark/testing candidate	No README body; excluded from content-review count.
AI-Hypercomputer/accelerator-microbenchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
berestovskyy/applied-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
jorendorff/dht	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
rdyro/tune-jax	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
maximenajim/java-vs-node-react-rendering-microbenchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
arkanis/syscall-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
wsargent/slf4j-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
eigenform/lamina	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Deleplace/microbenchmarks	excluded	benchmark/testing candidate	README too thin for content analysis
pyk/bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
RealTimeChris/benchmarksuite	unavailable	benchmark/testing candidate	No README body; excluded from content-review count.
seriyps/rebar3_bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ning/ub	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
biboudis/clashofthelambdas	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
blitz/kernel_entry_benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
vickiegpt/A16-microbenchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
martinbonnin/run-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
timoheimonen/macOS-memory-benchmark	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
spthm/cudabmk	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
RasterDuck/vectormathbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
softprops/cappi	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
silversquirl/benchmark.zig	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
maxim-saplin/mandelbrot	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fullzer4/pybenchx	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
chrirocca/GPUNetBench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
JimZeyuYang/GPU_Power_Benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
peter-lawrey-admin/jvm-micro-benchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
biboudis/LambdaMicrobenchmarking	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
gormanm/pft	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
peterszatmary/jmh-benchmark-demo	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
lemire/microbenchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
CoreyLeath-code/AutoGuard-AI-Real-Time-Autonomous-Vehicle-Safety-Geofencing-Platform	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
bdice/python_microbenchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
SEALABQualityGroup/icpe-data-challenge-jmh	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
nsrip-dd/profiler-overhead-testing	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
chrishantha/microbenchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
thomwiggers/microbenchmark-aarch64	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
buchgr/rules_jmh	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
efficient/microservices_microbenchmarks	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
rolfl/MicroBench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sjenning/zsmapbench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
zhisbug/ray-scalable-ml-design	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
mhirki/idq-bench2	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
HicrestLaboratory/Blink-GPU	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
jeffzi/luamark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
DiegoEliasCosta/spotjmhbugs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
vitinh0z/java-performance	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
mazalves/microbenchmarks	unavailable	benchmark/testing candidate	No README body; excluded from content-review count.
epickrram/journalling-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
karnajitsen/NVLink-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
yushinliu/cuda-ptx-microbenchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
YKTian-x2b/AmpereArchViaMicroBenchMark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
yvt/farcri-rs	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cameron314/atomic_bench	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
neozhang307/SyncMicrobenchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
benfred/py-spy	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
flamegraph-rs/flamegraph	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
mstange/samply	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
edison7009/EchoBird	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
rbspy/rbspy	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
serokell/deploy-rs	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
EmbarkStudios/puffin	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tikv/pprof-rs	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
AlexEne/twiggy	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
nnethercote/dhat-rs	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
pythonspeed/filprofiler	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
koute/not-perf	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cmyr/cargo-instruments	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
westpoint-io/lazyrsync	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
llogiq/flame	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
pop-os/system76-power	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
supermemoryai/smfs	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
svenstaro/cargo-profiler	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
aclysma/profiling	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
rust-lang/measureme	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
desbma/shh	excluded	profiling	Systemd hardening rather than performance measurement
HdrHistogram/HdrHistogram_rust	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
nnethercote/counts	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ZakisM/bl3_save_edit	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
bluenote-1577/sylph	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
polarsignals/rust-jemalloc-pprof	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
TheYkk/git-switcher	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
grafana/pyroscope-rs	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
alexcrichton/coz-rs	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
siketyan/ghr	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
hw0lff/shikane	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
Wumpf/wgpu-profiler	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
null-dev/firefox-profile-switcher-connector	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
elastic/devfiler	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
shvbsle/k10s	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
thoren-d/tracing-chrome	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
javierhonduco/rbperf	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
jzbor/nix-sweep	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
lucifer1004/VeloQ	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
soth-ai/mcp-reticle	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
sassman/amoxide-rs	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
burakdede/aisw	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
aralroca/aralroca	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
EmbarkStudios/superluminal-perf-rs	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
gyroflow/lens_profiles	unavailable	profiling	No README body; excluded from content-review count.
0xdeafbeef/jeprofl	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
dr-dotnet/dr-dotnet	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
rogercoll/eprofiler-tui	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
MarlinDiary/worklouder-input-cli	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
ShayBox/Wooting-Profile-Switcher	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
emberian/hprof	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
alumet-dev/alumet	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
yfractal/sdb	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Th0rgal/shard	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
AlexEne/rust_hawktracer	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
zz85/profile-bee	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
DataDog/libdatadog	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
kguardian-dev/kguardian	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
xjoker/codex-switch	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
zmitchell/proctrace	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
naftulikay/aws-env	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
gleich/profile_stack	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
LuoGroup2023/PanTax	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
kornelski/rust-lcms2	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
coolreader18/flamescope	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
yaahc/spandoc	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cleyton1986/predator-sense	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
Tails8521/md-profiler	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
wasmerio/loupe	excluded	profiling	README too thin for content analysis
Arc-blroth/memory-stats	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
javierhonduco/lightswitch	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
terror/vim-profiler	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
roniel-rhack/envi	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
inceptyon-labs/TARS	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
Christopher-06/rustmeter	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
camdenreslink/clr-profiler	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
software-mansion/cairo-profiler	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Vedant-Asati03/Telelog	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
AlexGladkov/quickai	excluded	profiling	Coding assistant usage profiler outside current scope
vobst/btf2json	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
loocor/mcpmate	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
emoon/remotery-rs	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
de-husk/cosm-orc	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
LyonSyonII/profi	excluded	profiling	README too thin for content analysis
alexandretrotel/dotfiles-manager	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
ImShyMike/hackatime-heatmap	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
h3r2tic/gpu-profiler	unavailable	profiling	No README body; excluded from content-review count.
home-mangler/home-mangler	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
mstange/fxprof-perf-convert	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
microsoft/one-collect	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sachinkg12/heaplens	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
SparkyPotato/tracy_full	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
OCamlPro/memthol	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
mkmik/heappy	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tcr/macos-profiler	retained	profiling	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
ElNiak/cupp-rs	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
riverscn/any-switch	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
Ghostlock-AI/capsule	excluded	profiling	Search false positive or domain outside Rust performance harness requirements.
grafana/k6	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
locustio/locust	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
promptfoo/promptfoo	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
avajs/ava	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
alibaba/MNN	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
webdriverio/webdriverio	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
apache/jmeter	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
artilleryio/artillery	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
getanteon/anteon	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Blazity/next-enterprise	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
baidu/dperf	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sitespeedio/sitespeed.io	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
session-replay-tools/tcpcopy	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
marmelab/awesome-rest	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
fortio/fortio	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
LinShunKang/MyPerf4J	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
phoronix-test-suite/phoronix-test-suite	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
albinotonnina/albinotonnina.com	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
pod4g/hiper	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
alexfernandez/loadtest	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cleanbrowsing/dnsperftest	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
fcsonline/drill	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
dfeneyrou/palanteer	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Blazemeter/taurus	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
naver/ngrinder	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
reactopt/reactopt	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
addyosmani/puppeteer-webperf	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
sqlancer/sqlancer	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
avoidwork/filesize.js	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
bamlab/flashlight	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Inspiaaa/UnityHFSM	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
TraceMachina/nativelink	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
callstack/reassure	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
d3ward/toolz	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
microsoft/diskspd	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
shulieTech/Takin	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
treosh/lighthouse-ci-action	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
dmaicher/doctrine-test-bundle	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
YahooArchive/boomerang	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
DoneDeal0/superdiff	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
fabienrenaud/java-json-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
linux-rdma/perftest	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
tag1consulting/goose	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
kubernetes/perf-tests	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
HewlettPackard/netperf	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
alloy-rs/core	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
janreges/siteone-crawler	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
ubugeeei-prod/vize	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
maxim-saplin/CrossPlatformDiskTest	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
andyedinborough/stress-css	unavailable	benchmark/testing candidate	No README body; excluded from content-review count.
AirportR/fulltclash	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
LucaCanali/sparkMeasure	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
dwyl/book	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
rogerwelin/cassowary	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
grafana/k6-operator	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
YueChen-C/py-ios-device	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
kube-burner/kube-burner	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
dotnet/performance	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
alibaba/mobileperf	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
swc-project/jest	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
themidnightgospel/Imposter	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
MarathonLabs/marathon	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
wix-incubator/DetoxInstruments	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
piotrmurach/rspec-benchmark	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
lafikl/RWDPerf	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
jsdelivr/globalping	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
Zooz/predator	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
quii/mockingjay-server	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
quick-perf/quickperf	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
abstracta/jmeter-java-dsl	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
kpdecker/six-speed	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
krkn-chaos/krkn	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
LucaCanali/Miscellaneous	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
cgoldberg/multi-mechanize	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
jacksonh/manos	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
yswenli/SAEA	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
patrickfav/BlurTestAndroid	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
mgasiorowski/performance_testing	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
serputko/performance-testing-framework	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
aws-solutions/distributed-load-testing-on-aws	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
xullexer/PYDNS-Scanner	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
techinz/browsers-benchmark	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
ZoranPandovski/awesome-testing-tools	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
net-benchmark/dns-benchmark-tool	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
arcprize/arc-agi-benchmarking	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
lemire/fastmod	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
zszszszsz/.config	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
linhay/harmony-next.skills	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
bartoszlenar/Validot	unavailable	benchmark/testing candidate	No README body; excluded from content-review count.
DNS-OARC/flamethrower	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
crossoverJie/ptg	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
chrisneagu/FTC-Skystone-Dark-Angels-Romania-2020	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
cloudflare/telescope	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
UCSBarchlab/PyRTL	retained	benchmark/testing candidate	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
testinggospels/camouflage	excluded	benchmark/testing candidate	Search false positive or domain outside Rust performance harness requirements.
FyroxEngine/Fyrox	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
DioxusLabs/blitz	retained	workload: graphics	Benchmark design, diagnostic integration, or representative workload candidate; not a certification of repository quality.
